id,event_datetime,username,event_description
26,2024-03-02 09:25:52,user19,пользователь зарегистрирован
27,2024-03-02 09:32:41,qwerty,авторизован
28,2024-03-02 09:33:12,12345678,пользователь зарегистрирован
29,2024-03-02 09:33:28,qwerty,неверный пароль
30,2024-03-02 09:33:47,qwerty,неверный пароль
31,2024-03-02 09:33:50,qwerty,заблокирован
32,2024-03-02 09:33:50,qwerty,неверный пароль
33,2024-03-02 09:33:52,qwerty,заблокированный пользователь пытается зайти
34,2024-03-02 09:34:34,qwerty,заблокирован
35,2024-03-02 09:34:34,qwerty,неверный пароль
36,2024-03-02 09:50:46,user19,авторизован
37,2024-03-02 09:51:49,user20,пользователь зарегистрирован
38,2024-03-02 09:56:33,admin,авторизован
39,2024-03-02 09:59:51,admin,авторизован
40,2024-03-02 10:01:02,admin,авторизован
41,2024-03-02 10:01:38,admin,авторизован
42,2024-03-02 10:03:04,admin,авторизован
43,2024-03-02 10:03:39,username,вышел
44,2024-03-02 10:03:47,admin,авторизован
45,2024-03-02 10:03:49,username,вышел
46,2024-03-02 10:04:16,admin,авторизован
47,2024-03-02 10:04:17,username,вышел
48,2024-03-02 10:04:43,admin,авторизован
49,2024-03-02 10:08:33,username,вышел
50,2024-03-02 10:08:35,admin,авторизован
51,2024-03-02 10:08:36,username,вышел
52,2024-03-02 10:09:12,admin,авторизован
53,2024-03-02 10:09:13,admin,вышел
54,2024-03-02 10:23:21,admin,авторизован
55,2024-03-02 10:27:08,admin,вышел
56,2024-03-02 10:27:10,admin,авторизован
57,2024-03-02 10:27:12,admin,вышел
58,2024-03-02 10:27:14,admin,авторизован
59,2024-03-02 10:27:18,admin,вышел
60,2024-03-02 10:27:28,admin,авторизован
61,2024-03-02 10:33:07,admin,вышел
62,2024-03-02 10:33:09,admin,авторизован с правами
63,2024-03-02 10:33:11,admin,авторизован с правами
64,2024-03-02 10:33:11,admin,авторизован с правами
65,2024-03-02 10:33:11,admin,авторизован с правами
66,2024-03-02 10:33:11,admin,авторизован с правами
67,2024-03-02 10:34:35,admin,авторизован с правами
68,2024-03-02 10:34:36,admin,авторизован с правами
69,2024-03-02 10:34:36,admin,авторизован с правами
70,2024-03-02 10:34:36,admin,авторизован с правами
71,2024-03-02 10:35:35,admin,авторизован с правами
72,2024-03-02 10:35:49,admin,авторизован с правами
73,2024-03-02 10:35:55,admin,авторизован с правами
74,2024-03-02 10:36:35,admin,авторизован с правами
75,2024-03-02 10:37:21,admin,авторизован с правами
76,2024-03-02 10:37:22,admin,авторизован с правами
77,2024-03-02 10:37:22,admin,авторизован с правами
78,2024-03-02 10:39:08,admin,авторизован с правами
79,2024-03-02 10:56:41,admin,авторизован с правами
80,2024-03-02 10:59:00,admin,авторизован с правами
81,2024-03-02 10:59:03,admin,вышел
82,2024-03-02 11:31:02,admin,авторизован с правами
83,2024-03-02 11:40:30,admin,авторизован с правами
84,2024-03-02 11:51:04,admin,авторизован с правами
85,2024-03-02 11:53:20,admin,авторизован с правами
86,2024-03-02 11:55:20,admin,авторизован с правами
87,2024-03-02 11:56:06,admin,авторизован с правами
88,2024-03-02 11:56:29,admin,авторизован с правами
89,2024-03-02 11:58:24,admin,авторизован с правами
90,2024-03-02 11:58:37,admin,авторизован с правами
91,2024-03-02 12:04:22,admin,авторизован с правами
92,2024-03-02 12:33:15,admin,авторизован с правами
93,2024-03-02 12:34:52,admin,авторизован с правами
94,2024-03-02 12:35:28,admin,авторизован с правами
95,2024-03-02 12:38:20,admin,авторизован с правами
96,2024-03-02 12:39:41,admin,авторизован с правами
97,2024-03-02 12:40:12,admin,авторизован с правами
98,2024-03-02 12:40:55,1,авторизован
99,2024-03-02 12:40:57,1,вышел
100,2024-03-02 12:41:09,admin,авторизован с правами
101,2024-03-02 12:41:44,admin,авторизован с правами
102,2024-03-02 12:49:04,admin,авторизован с правами
103,2024-03-02 13:29:43,admin,вышел
104,2024-03-02 13:29:46,admin,авторизован с правами
105,2024-03-02 13:31:23,admin,вышел
106,2024-03-02 13:31:34,admin,авторизован с правами
107,2024-03-02 13:31:36,admin,вышел
108,2024-03-02 13:31:39,admin,авторизован с правами
109,2024-03-06 00:12:08,admin,авторизован с правами
110,2024-03-06 00:12:47,admin,вышел
111,2024-03-06 00:13:09,user20,авторизован
112,2024-03-06 00:13:15,user20,вышел
113,2024-03-06 00:13:27,user21,пользователь зарегистрирован
114,2024-03-06 00:13:35,user21,вышел
115,2024-03-06 00:13:41,admin,авторизован с правами
116,2024-03-06 00:14:26,admin,вышел
117,2024-03-06 00:14:41,user21,неверный пароль
118,2024-03-06 00:14:54,user21,неверный пароль
